Database backup created at: 2025-08-06 23:28:04.650727

Record 34: {'id': 99, 'timestamp': 1728518400, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2281263140332.0903, 'btc_market_cap': 1197736450280.4102, 'eth_market_cap': 285084590935.4484, 'btc_price': 60597.15045618275, 'alt_market_cap': 798442099116.2317, 'alt_strength_ratio': 13176231.77171636, 'btc_dominance': 52.50321320257917, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 35: {'id': 100, 'timestamp': 1728604800, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2271145078846.0825, 'btc_market_cap': 1189691671375.1472, 'eth_market_cap': 286552629874.8065, 'btc_price': 60195.18073772453, 'alt_market_cap': 794900777596.1288, 'alt_strength_ratio': 13205389.00048458, 'btc_dominance': 52.38290069869084, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 36: {'id': 101, 'timestamp': 1728691200, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2348492063883.555, 'btc_market_cap': 1233357176570.333, 'eth_market_cap': 293162664953.97815, 'btc_price': 62392.34048293159, 'alt_market_cap': 821972222359.244, 'alt_strength_ratio': 13174248.890119893, 'btc_dominance': 52.51698294142017, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 37: {'id': 102, 'timestamp': 1728777600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2380438163511.442, 'btc_market_cap': 1249002272717.2275, 'eth_market_cap': 298282533565.2097, 'btc_price': 63207.77062127557, 'alt_market_cap': 833153357229.0046, 'alt_strength_ratio': 13181185.620689608, 'btc_dominance': 52.46942734587964, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 38: {'id': 103, 'timestamp': 1728864000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2366491703863.011, 'btc_market_cap': 1241241970951.0295, 'eth_market_cap': 296977636559.92773, 'btc_price': 62829.533686088886, 'alt_market_cap': 828272096352.054, 'alt_strength_ratio': 13182846.469787536, 'btc_dominance': 52.45072141706021, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 39: {'id': 104, 'timestamp': 1728950400, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2496210936637.4497, 'btc_market_cap': 1306085613997.8015, 'eth_market_cap': 316451494816.54065, 'btc_price': 66049.99492708022, 'alt_market_cap': 873673827823.1075, 'alt_strength_ratio': 13227462.451551301, 'btc_dominance': 52.3227262098763, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 40: {'id': 105, 'timestamp': 1729036800, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2518447219633.6074, 'btc_market_cap': 1323774576161.621, 'eth_market_cap': 313216116600.22363, 'btc_price': 66962.21994496793, 'alt_market_cap': 881456526871.7627, 'alt_strength_ratio': 13163490.212782323, 'btc_dominance': 52.56312563716179, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 41: {'id': 106, 'timestamp': 1729123200, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2541137695580.4883, 'btc_market_cap': 1337304399194.887, 'eth_market_cap': 314435102932.4304, 'btc_price': 67647.54414766871, 'alt_market_cap': 889398193453.1709, 'alt_strength_ratio': 13147531.143358167, 'btc_dominance': 52.626207604598065, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 42: {'id': 107, 'timestamp': 1729209600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2528588249123.7144, 'btc_market_cap': 1330387728623.8188, 'eth_market_cap': 313194633306.5954, 'btc_price': 67328.10527002988, 'alt_market_cap': 885005887193.3, 'alt_strength_ratio': 13144672.40157503, 'btc_dominance': 52.61385395921485, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 43: {'id': 108, 'timestamp': 1729296000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2571980777441.6807, 'btc_market_cap': 1353541799303.4875, 'eth_market_cap': 318245706033.605, 'btc_price': 68465.61920668735, 'alt_market_cap': 900193272104.5881, 'alt_strength_ratio': 13148106.780237257, 'btc_dominance': 52.62643528190905, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 44: {'id': 109, 'timestamp': 1729382400, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2570642620888.182, 'btc_market_cap': 1351942347611.1997, 'eth_market_cap': 318975355966.1185, 'btc_price': 68388.87128965274, 'alt_market_cap': 899724917310.8639, 'alt_strength_ratio': 13156013.5493418, 'btc_dominance': 52.591610231067065, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 45: {'id': 110, 'timestamp': 1729468800, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2603860495943.3257, 'btc_market_cap': 1362381684459.9053, 'eth_market_cap': 330127637903.2564, 'btc_price': 68962.82918045693, 'alt_market_cap': 911351173580.1641, 'alt_strength_ratio': 13215107.10060062, 'btc_dominance': 52.321608111587494, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 46: {'id': 111, 'timestamp': 1729555200, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2543382572109.333, 'btc_market_cap': 1332326858574.4448, 'eth_market_cap': 320871813296.62164, 'btc_price': 67394.85775735618, 'alt_market_cap': 890183900238.2666, 'alt_strength_ratio': 13208483.998040676, 'btc_dominance': 52.38405237122824, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 47: {'id': 112, 'timestamp': 1729641600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2533405879578.498, 'btc_market_cap': 1331426858508.4004, 'eth_market_cap': 315286963217.6233, 'btc_price': 67351.04793512498, 'alt_market_cap': 886692057852.4744, 'alt_strength_ratio': 13165230.312475152, 'btc_dominance': 52.55481836688245, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 48: {'id': 113, 'timestamp': 1729728000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2495452472087.5894, 'btc_market_cap': 1318285437546.2786, 'eth_market_cap': 303758669310.65466, 'btc_price': 66683.96806542306, 'alt_market_cap': 873408365230.6561, 'alt_strength_ratio': 13097726.343665734, 'btc_dominance': 52.827511334786394, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
